id,alias,name,image_url,url,review_count,categories_0_alias,coordinates_latitude,coordinates_longitude,price,location_city,location_zip_code,location_country,location_state,location_display_address_0,wifi,credit_card,noise_level,rolled_amount,selected_amount
Jd28dXIWRxGwXKbfrnXq3g,il-canto-cafe-san-francisco-2,Il Canto Cafe,https://s3-media1.fl.yelpcdn.com/bphoto/SbPzt1R2EOq9PacymQglZw/o.jpg,https://www.yelp.com/biz/il-canto-cafe-san-francisco-2?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,293,cafes,37.794016,-122.4006876,$,San Francisco,94111,US,CA,475 Sacramento St,,,,0,0
uEeWn6sPq-giWvfE9uhQ7A,dotties-true-blue-cafe-san-francisco,Dottie's True Blue Cafe,https://s3-media3.fl.yelpcdn.com/bphoto/pdoo7aWqUe2_Q5n_o-mGgw/o.jpg,https://www.yelp.com/biz/dotties-true-blue-cafe-san-francisco?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,4514,tradamerican,37.78170504,-122.4098396,$$,San Francisco,94103,US,CA,28 6th St,,,,0,0
asOdajhfMCSx_x60j4D42w,mazarine-coffee-san-francisco-2,Mazarine Coffee,https://s3-media2.fl.yelpcdn.com/bphoto/noj3tkhC8bdfEMqG1LvdTQ/o.jpg,https://www.yelp.com/biz/mazarine-coffee-san-francisco-2?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,807,coffee,37.78757998,-122.4040565,$$,San Francisco,94102,US,CA,720 Market St,no,yes,average,0,0
4_hIVof0Q8dfUBwlREOEGg,the-grove-yerba-buena-san-francisco,The Grove Yerba Buena,https://s3-media2.fl.yelpcdn.com/bphoto/K0WShBisQmY-tz2KogXxow/o.jpg,https://www.yelp.com/biz/the-grove-yerba-buena-san-francisco?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,1948,sandwiches,37.786555,-122.401971,$$,San Francisco,94105,US,CA,690 Mission St,,,,0,0
lNbKeOfCMTNkoihZHqrbrg,blue-bottle-coffee-san-francisco-21,Blue Bottle Coffee,https://s3-media1.fl.yelpcdn.com/bphoto/mjMHObH17E2NykWJufuVSg/o.jpg,https://www.yelp.com/biz/blue-bottle-coffee-san-francisco-21?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,2236,coffee,37.78246647,-122.4077533,$$,San Francisco,94103,US,CA,66 Mint St,,,,0,0
wdlyeH5ug7uZpvtb-N97fQ,the-buena-vista-san-francisco,The Buena Vista,https://s3-media4.fl.yelpcdn.com/bphoto/_xTU5gLut0a3vcXoTBlUgw/o.jpg,https://www.yelp.com/biz/the-buena-vista-san-francisco?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,2628,bars,37.8065091,-122.4207222,$$,San Francisco,94109,US,CA,2765 Hyde St,,,,0,0
zfs3gpYPbMBLseqaAsQN-A,steap-tea-bar-san-francisco-3,Steap Tea Bar,https://s3-media2.fl.yelpcdn.com/bphoto/E7T6_UBvhOHSg8lFfAZe_A/o.jpg,https://www.yelp.com/biz/steap-tea-bar-san-francisco-3?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,412,coffee,37.79326044,-122.4067625,$,San Francisco,94108,US,CA,827 Sacramento St,,,,0,0
KH6MVXnoQubNevMixBnf3g,blue-bottle-coffee-san-francisco-25,Blue Bottle Coffee,https://s3-media2.fl.yelpcdn.com/bphoto/J1ZbGU1wUcufk9tlc9sXrw/o.jpg,https://www.yelp.com/biz/blue-bottle-coffee-san-francisco-25?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,557,coffee,37.79472847,-122.3927593,$,San Francisco,94111,US,CA,1 Ferry Building,,,,0,0
r-L3a4mKLPkCkGf9Askx0g,philz-coffee-san-francisco-26,Philz Coffee,https://s3-media2.fl.yelpcdn.com/bphoto/i-9-LQM_w2OhZsHhiN0DLQ/o.jpg,https://www.yelp.com/biz/philz-coffee-san-francisco-26?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,385,coffee,37.79438591,-122.3953597,$,San Francisco,94111,US,CA,5 Embarcadero Ctr,yes,yes,average,0,0
akXf1BdFZjQb2fO8Ca7FtA,philz-coffee-san-francisco,Philz Coffee,https://s3-media2.fl.yelpcdn.com/bphoto/rRrJD3FCGIph5ok16ebfWw/o.jpg,https://www.yelp.com/biz/philz-coffee-san-francisco?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,1673,,37.7524,-122.414,$,San Francisco,94110,US,CA,3101 24th St,yes,yes,average,0,0
PrlH7YcQ22m9DyuWbxJjMA,anthonys-cookies-san-francisco-2,Anthony's Cookies,https://s3-media1.fl.yelpcdn.com/bphoto/6ZXuANt_JBmtSeAHbG5sYQ/o.jpg,https://www.yelp.com/biz/anthonys-cookies-san-francisco-2?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,1676,,37.7502,-122.42,$,San Francisco,94110,US,CA,1417 Valencia St,,,,0,0
IJk76B-pTta_klpAZcpQdA,lous-cafe-san-francisco,Lou's Cafe,https://s3-media1.fl.yelpcdn.com/bphoto/UgwBr0vhX6fSNT_ILMeJvg/o.jpg,https://www.yelp.com/biz/lous-cafe-san-francisco?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,1495,coffee,37.78045,-122.473,$$,San Francisco,94118,US,CA,5017 Geary Blvd,,,,0,0
b-ylC7pGKuh4yw6l1Q1k9g,golden-bear-trading-company-san-francisco-3,Golden Bear Trading Company,https://s3-media1.fl.yelpcdn.com/bphoto/-JxDL4oUYGu_c5cE6U4KBg/o.jpg,https://www.yelp.com/biz/golden-bear-trading-company-san-francisco-3?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,1228,coffee,37.76216,-122.463,$$,San Francisco,94122,US,CA,1401 6th Ave,,,,0,0
EFefgQdk_19WxQXvVtwEog,blue-bottle-coffee-san-francisco-8,Blue Bottle Coffee,https://s3-media3.fl.yelpcdn.com/bphoto/7Yklx9jkwBwLAjBO4Q1Kzg/o.jpg,https://www.yelp.com/biz/blue-bottle-coffee-san-francisco-8?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,1674,coffee,37.77638,-122.423,$$,San Francisco,94102,US,CA,315 Linden St,,,,0,0
lNbKeOfCMTNkoihZHqrbrg,blue-bottle-coffee-san-francisco-21,Blue Bottle Coffee,https://s3-media1.fl.yelpcdn.com/bphoto/mjMHObH17E2NykWJufuVSg/o.jpg,https://www.yelp.com/biz/blue-bottle-coffee-san-francisco-21?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,2236,coffee,37.78247,-122.408,$$,San Francisco,94103,US,CA,66 Mint St,no,yes,loud,0,0
